"id","lat","long"
5779,120.14836,22.97006
4191,117.04911,30.50116
5209,8.99764,63.63857
2291,-2.69737,56.22049
7070,50.28279,-14.89956
2159,30.61095,36.8334
2985,132.76984,42.84647
90,7.1277,43.5866
1790,0.13738,49.65894
7094,-61.77285,17.01316
689,23.29162,35.88801
6831,-75.74456,20.82323
452,25.0862,37.0412
822,20.23279,39.15341
700,21.76997,38.32976
6711,-70.40669,-23.64985
2546,3.44221,50.56957
6681,-48.70721,-25.42997
7034,49.28316,-12.27439
91,4.34107,51.2594
3544,49.46587,37.48363
2003,12.63533,41.44487
4870,135.07616,33.90467
4099,120.55756,27.58374
4612,140.72375,40.84746
4858,139.45413,42.05994
4456,131.47519,31.79882
4168,114.26964,22.55052
5825,18.96617,45.67824
5862,-171.76326,-13.82808
3885,143.67742,-38.75813
1055,6.85737,53.31994
3864,115.84754,-32.00332
1580,-4.18996,51.05075
5903,34.99356,29.52084
5840,34.95911,29.37695
2079,16.57006,38.59116
6692,-37.04767,-10.93712
4274,140.91251,38.03449
550,21.84281,38.33157
6182,-97.14104,27.89307
4238,138.76584,34.82953
4885,136.87256,34.46
92,-38.4723,-12.7863
2059,9.70101,39.94257
2367,-2.584,56.55407
660,22.8785,36.6292
5811,48.87969,38.51982
5333,6.162,59.1438
5247,7.70283,61.23387
2407,-5.52421,56.18469
1554,-5.60333,54.2615
1606,-5.23667,56.72121
2394,-5.44409,56.01484
3840,137.9244,-34.4342
85,-4.82326,55.6433
1575,-5.04179,55.86877
1990,14.81531,40.64275
7067,-66.70224,18.47844
5298,8.76997,58.45765
1945,2.5596,41.57657
2008,8.68749,44.39947
1930,-8.23976,43.42214
6476,-53.9776,47.29802
79,20.4914,38.1863
2695,-15.68554,27.75963
6729,-70.3256,-18.47048
753,20.2862,39.35565
2700,-15.401,27.84383
1191,4.99976,51.86468
3000,40.50579,64.54821
764,23.02391,38.75086
2481,-6.14585,52.79464
832,26.73577,37.37892
1618,-5.89223,57.06632
862,5.90866,51.97645
1323,9.93454,54.63033
6522,-53.98908,47.75949
2645,2.29675,50.73754
6688,-42.01557,-22.97264
2693,-13.53117,28.96418
7009,-66.06714,17.96306
5573,-18.35392,65.94644
5036,6.01652,60.05432
5190,5.45888,59.17085
1499,10.48183,53.37882
799,25.45459,34.99081
3501,52.5652,24.77547
3277,-0.23849,35.82594
3480,58.79309,23.41429
4847,140.9823,40.9387
4496,134.37088,33.62744
3602,52.54695,27.53308
4890,129.2131,34.1093
4475,140.85763,40.89422
1367,9.11874,49.9774
3473,56.08398,26.05698
3967,115.00579,-21.67573
3162,34.6415,31.83484
4623,132.93857,32.78061
3164,34.50537,31.6327
6052,-90.8815,46.60482
6167,-80.79199,41.91413
3298,-6.03464,35.47128
5342,14.90457,58.87538
2633,11.48289,54.88441
5381,11.79305,57.65076
3,23.5931,38.028
3431,42.74618,12.99793
889,6.00717,51.22748
944,4.75673,52.48642
94,9.88587,55.2698
559,20.5378,38.37887
791,21.0819,38.53181
2262,21.0977,38.4747
3542,48.88254,38.40751
6099,-123.8613,46.19046
813,19.75878,39.79628
3092,48.01001,46.34832
71,26.34529,36.57359
7048,-57.64924,-25.26847
4276,139.08058,35.09531
4493,132.31542,34.19647
715,20.7986,38.66284
562,26.14497,35.00662
6339,-93.88144,29.98117
1846,3.0665,50.4128
4060,174.76512,-36.83843
1423,9.71518,54.31895
2500,-9.05931,52.64411
2090,15.21514,37.21356
966,6.16221,53.21859
5897,7.66139,47.54331
5818,160.69764,-8.77664
5274,6.91858,62.78051
6505,-61.43587,45.64916
2659,-2.97755,47.66095
5942,-84.8971,39.05702
5246,5.17719,60.10631
5154,5.46368,59.22192
3133,29.87722,40.72294
6198,-118.32243,33.34604
554,24.97033,40.93089
2627,12.48877,55.59885
2720,-8.72308,40.6503
2515,3.44982,50.75862
6060,-80.13324,25.94613
5078,7.66442,63.05786
1853,-5.92749,43.59089
762,23.08213,36.22532
2453,-4.16613,57.56698
96,-2.71705,51.5081
4866,133.63358,34.26815
4467,134.611,34.144
6736,-72.78786,-42.31755
5519,128.55817,38.27242
1601,-4.6406,55.4688
4585,141.50696,38.29476
2115,26.69253,39.32679
3186,12.67835,32.79401
3188,20.06964,30.89981
3245,4.41986,36.9037
